t_rel_s,f0,f1,f2,tag
0.000000,-0.090000,-0.090000,-0.070000,PRE
0.499150,-0.100000,-0.090000,-0.070000,PRE
1.000211,-0.100000,-0.160000,-0.070000,PRE
1.499386,-0.100000,-0.180000,-0.070000,PRE
1.999542,-0.160000,-0.220000,-0.160000,PRE
1.999542,-0.160000,-0.220000,-0.160000,CONTACT
2.500000,-0.190000,-0.240000,-0.180000,HOLD
2.999344,-0.190000,-0.240000,-0.180000,HOLD
3.499684,-0.190000,-0.240000,-0.180000,HOLD
3.999546,-0.190000,-0.240000,-0.180000,HOLD
4.499943,-0.180000,-0.240000,-0.180000,HOLD
5.000346,-0.190000,-0.240000,-0.180000,HOLD
