t_rel_s,f0,f1,f2,tag
0.000000,-0.170000,-0.270000,-0.160000,PRE
0.501125,-0.170000,-0.270000,-0.160000,PRE
1.000333,-0.170000,-0.270000,-0.160000,PRE
1.500322,-0.170000,-0.270000,-0.160000,PRE
1.500322,-0.170000,-0.270000,-0.160000,CONTACT
2.000283,-0.170000,-0.260000,-0.160000,HOLD
2.500672,-0.160000,-0.280000,-0.140000,HOLD
3.001159,-0.160000,-0.270000,-0.140000,HOLD
3.501217,-0.160000,-0.280000,-0.140000,HOLD
4.000219,-0.170000,-0.280000,-0.140000,HOLD
4.500777,-0.160000,-0.280000,-0.140000,HOLD
