t_rel_s,f0,f1,f2,tag
0.000000,-0.190000,-0.240000,-0.180000,PRE
0.500397,-0.180000,-0.240000,-0.180000,PRE
1.000800,-0.190000,-0.240000,-0.180000,PRE
1.500616,-0.190000,-0.240000,-0.180000,PRE
1.500616,-0.190000,-0.240000,-0.180000,CONTACT
2.000319,-0.190000,-0.240000,-0.180000,HOLD
2.500240,-0.190000,-0.240000,-0.180000,HOLD
2.999790,-0.190000,-0.240000,-0.180000,HOLD
3.500639,-0.190000,-0.240000,-0.180000,HOLD
3.999492,-0.190000,-0.240000,-0.180000,HOLD
4.499767,-0.190000,-0.240000,-0.180000,HOLD
5.000231,-0.190000,-0.240000,-0.180000,HOLD
