t_rel_s,f0,f1,f2,tag
0.000000,-0.190000,-0.240000,-0.180000,PRE
0.500275,-0.190000,-0.240000,-0.180000,PRE
1.000738,-0.190000,-0.240000,-0.180000,PRE
1.502383,-0.180000,-0.240000,-0.180000,PRE
1.502383,-0.180000,-0.240000,-0.180000,CONTACT
2.000299,0.000000,0.000000,0.000000,HOLD
2.000299,0.000000,0.000000,0.000000,DETACH
2.501419,-0.090000,-0.090000,-0.080000,POST
3.000078,-0.090000,-0.090000,-0.070000,POST
3.500452,-0.100000,-0.080000,-0.070000,POST
4.000459,-0.090000,-0.090000,-0.070000,POST
