t_rel_s,f0,f1,f2,tag
0.000000,-0.160000,-0.270000,-0.140000,PRE
0.500057,-0.160000,-0.280000,-0.140000,PRE
0.999060,-0.170000,-0.280000,-0.140000,PRE
1.499618,-0.160000,-0.280000,-0.140000,PRE
1.999514,-0.160000,-0.280000,-0.140000,PRE
1.999514,-0.160000,-0.280000,-0.140000,CONTACT
2.499249,-0.170000,-0.270000,-0.140000,HOLD
3.000724,-0.170000,-0.280000,-0.150000,HOLD
3.498698,-0.170000,-0.280000,-0.140000,HOLD
4.001981,-0.100000,-0.150000,-0.070000,HOLD
4.499067,-0.100000,-0.090000,-0.070000,HOLD
4.499067,-0.100000,-0.090000,-0.070000,DETACH
4.999007,-0.100000,-0.080000,-0.070000,POST
5.499170,-0.100000,-0.090000,-0.070000,POST
5.999085,-0.100000,-0.090000,-0.070000,POST
6.499406,-0.100000,-0.090000,-0.070000,POST
