t_rel_s,f0,f1,f2,tag
0.000000,-0.090000,-0.090000,-0.090000,PRE
0.500229,-0.100000,-0.090000,-0.090000,PRE
0.999581,-0.100000,-0.090000,-0.090000,PRE
1.498332,-0.100000,-0.090000,-0.090000,PRE
1.998271,-0.100000,-0.170000,-0.080000,PRE
1.998271,-0.100000,-0.170000,-0.080000,CONTACT
2.499765,-0.100000,-0.210000,-0.160000,HOLD
2.999848,-0.170000,-0.230000,-0.190000,HOLD
3.500276,-0.170000,-0.230000,-0.180000,HOLD
3.998276,-0.170000,-0.230000,-0.190000,HOLD
4.497422,-0.170000,-0.230000,-0.190000,HOLD
4.997630,-0.170000,-0.230000,-0.190000,HOLD
5.498341,-0.170000,-0.230000,-0.190000,HOLD
5.998156,-0.170000,-0.230000,-0.190000,HOLD
6.499830,-0.100000,-0.090000,-0.100000,HOLD
6.499830,-0.100000,-0.090000,-0.100000,DETACH
6.997333,-0.100000,-0.090000,-0.090000,POST
7.498336,-0.090000,-0.090000,-0.080000,POST
7.999795,-0.100000,-0.090000,-0.080000,POST
8.499879,-0.090000,-0.090000,-0.080000,POST
