t_rel_s,f0,f1,f2,tag
0.000000,0.000000,0.000000,0.000000,PRE
0.499641,0.000000,-0.090000,0.000000,PRE
0.998995,0.000000,-0.090000,0.000000,PRE
1.500145,-0.180000,-0.240000,-0.180000,PRE
1.500145,-0.180000,-0.240000,-0.180000,CONTACT
1.999764,-0.180000,-0.250000,-0.180000,HOLD
2.500008,-0.180000,-0.240000,-0.180000,HOLD
2.998603,-0.180000,-0.250000,-0.180000,HOLD
3.499213,-0.180000,-0.240000,-0.180000,HOLD
4.000344,-0.180000,-0.240000,-0.180000,HOLD
4.499394,-0.180000,-0.240000,-0.180000,HOLD
4.998526,0.000000,0.000000,0.000000,HOLD
4.998526,0.000000,0.000000,0.000000,DETACH
5.498761,-0.100000,-0.090000,-0.080000,POST
5.998637,-0.090000,-0.090000,-0.090000,POST
6.501984,-0.100000,-0.090000,-0.090000,POST
6.998778,-0.100000,-0.090000,-0.090000,POST
