t_rel_s,f0,f1,f2,tag
0.000000,0.000000,0.000000,0.000000,PRE
0.500240,-0.010000,-0.020000,-0.010000,PRE
1.000051,-0.020000,-0.030000,-0.020000,PRE
1.500474,-0.180000,-0.260000,-0.180000,PRE
1.500474,-0.180000,-0.260000,-0.180000,CONTACT
1.997958,-0.180000,-0.260000,-0.180000,HOLD
2.499726,-0.180000,-0.260000,-0.180000,HOLD
3.000399,-0.180000,-0.260000,-0.180000,HOLD
3.498118,-0.180000,-0.250000,-0.170000,HOLD
3.999691,-0.190000,-0.250000,-0.170000,HOLD
4.498634,-0.180000,-0.260000,-0.170000,HOLD
5.000298,-0.100000,-0.160000,-0.090000,HOLD
5.499303,-0.090000,-0.090000,-0.090000,HOLD
5.499303,-0.090000,-0.090000,-0.090000,DETACH
6.000520,-0.100000,-0.090000,-0.090000,POST
6.499765,-0.090000,-0.090000,-0.090000,POST
6.997917,-0.100000,-0.090000,-0.090000,POST
7.500260,-0.100000,-0.090000,-0.090000,POST
