t_rel_s,f0,f1,f2,tag
0.000000,0.000000,0.000000,0.000000,PRE
0.500156,0.000000,0.000000,0.000000,PRE
0.999864,0.000000,0.000000,0.000000,PRE
1.499651,0.000000,0.000000,0.000000,PRE
1.999726,-0.170000,-0.250000,-0.180000,PRE
1.999726,-0.170000,-0.250000,-0.180000,CONTACT
2.499302,-0.170000,-0.250000,-0.180000,HOLD
2.999863,-0.170000,-0.250000,-0.180000,HOLD
3.498928,-0.170000,-0.250000,-0.180000,HOLD
3.999753,-0.170000,-0.250000,-0.180000,HOLD
4.500337,-0.170000,-0.260000,-0.180000,HOLD
5.002019,-0.170000,-0.250000,-0.180000,HOLD
5.499818,-0.170000,-0.250000,-0.180000,HOLD
6.002088,0.000000,-0.090000,0.000000,HOLD
6.002088,0.000000,-0.090000,0.000000,DETACH
6.499546,-0.090000,-0.090000,-0.090000,POST
7.002425,-0.100000,-0.090000,-0.090000,POST
7.500348,-0.100000,-0.090000,-0.090000,POST
7.999926,-0.100000,-0.090000,-0.090000,POST
8.500252,-0.100000,-0.090000,-0.090000,POST
