t_rel_s,f0,f1,f2,tag
0.000000,-0.100000,-0.090000,-0.090000,PRE
0.505607,-0.100000,-0.090000,-0.090000,PRE
1.000325,-0.100000,-0.160000,-0.090000,PRE
1.499985,-0.100000,-0.200000,-0.150000,PRE
1.499985,-0.100000,-0.200000,-0.150000,CONTACT
2.001627,-0.170000,-0.240000,-0.180000,HOLD
2.500185,-0.170000,-0.230000,-0.180000,HOLD
2.999744,-0.170000,-0.230000,-0.180000,HOLD
3.500512,-0.170000,-0.220000,-0.180000,HOLD
4.000346,-0.170000,-0.230000,-0.180000,HOLD
4.499763,-0.170000,-0.230000,-0.180000,HOLD
5.000403,-0.170000,-0.230000,-0.180000,HOLD
5.500106,-0.100000,-0.090000,-0.090000,HOLD
5.500106,-0.100000,-0.090000,-0.090000,DETACH
6.000422,-0.100000,-0.090000,-0.090000,POST
6.500731,-0.100000,-0.090000,-0.090000,POST
7.000683,-0.100000,-0.090000,-0.090000,POST
7.500185,-0.100000,-0.090000,-0.080000,POST
