t_rel_s,f0,f1,f2,tag
0.000000,0.000000,0.000000,0.000000,PRE
0.499391,-0.010000,-0.010000,-0.010000,PRE
1.001345,-0.010000,-0.030000,-0.020000,PRE
1.501180,-0.180000,-0.270000,-0.190000,PRE
1.501180,-0.180000,-0.270000,-0.190000,CONTACT
2.002091,-0.190000,-0.260000,-0.190000,HOLD
2.499628,-0.180000,-0.260000,-0.190000,HOLD
3.001349,-0.190000,-0.270000,-0.190000,HOLD
3.499424,-0.190000,-0.260000,-0.190000,HOLD
4.002188,-0.190000,-0.270000,-0.190000,HOLD
4.499340,-0.190000,-0.260000,-0.190000,HOLD
4.999985,-0.180000,-0.260000,-0.190000,HOLD
5.499683,-0.090000,-0.090000,-0.090000,HOLD
5.499683,-0.090000,-0.090000,-0.090000,DETACH
5.999778,-0.100000,-0.090000,-0.090000,POST
6.500762,-0.100000,-0.090000,-0.090000,POST
6.999866,-0.100000,-0.090000,-0.090000,POST
7.501785,-0.100000,-0.090000,-0.090000,POST
