t_rel_s,f0,f1,f2,tag
0.000000,-0.100000,-0.090000,-0.080000,PRE
0.500185,-0.100000,-0.090000,-0.090000,PRE
1.002270,-0.100000,-0.160000,-0.090000,PRE
1.501951,-0.100000,-0.180000,-0.090000,PRE
1.501951,-0.100000,-0.180000,-0.090000,CONTACT
2.001658,-0.170000,-0.250000,-0.190000,HOLD
2.501314,-0.170000,-0.230000,-0.190000,HOLD
3.001996,-0.170000,-0.240000,-0.190000,HOLD
3.501716,-0.170000,-0.240000,-0.190000,HOLD
4.001715,-0.170000,-0.240000,-0.190000,HOLD
4.502353,-0.170000,-0.230000,-0.190000,HOLD
5.001698,-0.170000,-0.240000,-0.190000,HOLD
5.501778,-0.170000,-0.240000,-0.190000,HOLD
6.000191,-0.170000,-0.240000,-0.190000,HOLD
6.500045,-0.150000,-0.150000,-0.150000,HOLD
6.999967,-0.100000,-0.090000,-0.090000,HOLD
6.999967,-0.100000,-0.090000,-0.090000,DETACH
7.499565,-0.090000,-0.090000,-0.090000,POST
8.000078,-0.090000,-0.080000,-0.090000,POST
8.500035,-0.090000,-0.090000,-0.090000,POST
8.999331,-0.090000,-0.090000,-0.090000,POST
9.501388,-0.100000,-0.090000,-0.090000,POST
