t_rel_s,f0,f1,f2,tag
0.000000,-0.100000,-0.090000,-0.080000,PRE
0.499961,-0.090000,-0.090000,-0.090000,PRE
1.000844,-0.100000,-0.170000,-0.090000,PRE
1.500966,-0.100000,-0.200000,-0.080000,PRE
1.500966,-0.100000,-0.200000,-0.080000,CONTACT
1.999954,-0.180000,-0.250000,-0.180000,HOLD
2.500127,-0.180000,-0.250000,-0.180000,HOLD
3.000521,-0.170000,-0.250000,-0.180000,HOLD
3.499994,-0.180000,-0.250000,-0.180000,HOLD
4.000551,-0.170000,-0.250000,-0.180000,HOLD
4.500213,-0.100000,-0.160000,-0.080000,HOLD
5.000015,-0.100000,-0.090000,-0.090000,HOLD
5.000015,-0.100000,-0.090000,-0.090000,DETACH
5.500408,-0.100000,-0.090000,-0.090000,POST
6.000104,-0.100000,-0.090000,-0.080000,POST
6.499797,-0.100000,-0.090000,-0.090000,POST
7.000347,-0.100000,-0.090000,-0.090000,POST
