t_rel_s,f0,f1,f2,tag
0.000000,-0.100000,-0.090000,-0.090000,PRE
0.499853,-0.100000,-0.090000,-0.090000,PRE
0.999875,-0.100000,-0.160000,-0.090000,PRE
1.500708,-0.100000,-0.200000,-0.160000,PRE
1.500708,-0.100000,-0.200000,-0.160000,CONTACT
2.000066,-0.160000,-0.230000,-0.180000,HOLD
2.500137,-0.160000,-0.230000,-0.170000,HOLD
3.000124,-0.160000,-0.230000,-0.170000,HOLD
3.499939,-0.160000,-0.230000,-0.170000,HOLD
3.999948,-0.160000,-0.230000,-0.180000,HOLD
4.500005,-0.160000,-0.230000,-0.170000,HOLD
4.999933,-0.160000,-0.230000,-0.170000,HOLD
5.499981,-0.160000,-0.230000,-0.170000,HOLD
6.000076,-0.170000,-0.230000,-0.170000,HOLD
6.499771,-0.100000,-0.090000,-0.090000,HOLD
6.499771,-0.100000,-0.090000,-0.090000,DETACH
6.999938,-0.100000,-0.090000,-0.090000,POST
7.500262,-0.100000,-0.090000,-0.090000,POST
8.000108,-0.100000,-0.090000,-0.080000,POST
8.500834,-0.100000,-0.090000,-0.090000,POST
