t_rel_s,f0,f1,f2,tag
0.000000,0.000000,0.000000,0.000000,PRE
0.499994,0.000000,-0.090000,0.000000,PRE
1.000847,0.000000,-0.090000,0.000000,PRE
1.500955,-0.170000,-0.250000,-0.180000,PRE
1.500955,-0.170000,-0.250000,-0.180000,CONTACT
2.001222,-0.170000,-0.260000,-0.180000,HOLD
2.500788,-0.170000,-0.260000,-0.190000,HOLD
3.001232,-0.170000,-0.260000,-0.190000,HOLD
3.501270,-0.170000,-0.260000,-0.190000,HOLD
4.001686,-0.170000,-0.260000,-0.190000,HOLD
4.502512,-0.170000,-0.260000,-0.180000,HOLD
5.000934,-0.170000,-0.260000,-0.180000,HOLD
5.501955,-0.150000,-0.160000,-0.090000,HOLD
6.000765,-0.100000,-0.080000,-0.090000,HOLD
6.000765,-0.100000,-0.080000,-0.090000,DETACH
6.500978,-0.100000,-0.090000,-0.090000,POST
7.001797,-0.100000,-0.090000,-0.090000,POST
7.500401,-0.100000,-0.090000,-0.090000,POST
8.001049,-0.100000,-0.090000,-0.090000,POST
