t_rel_s,f0,f1,f2,tag
0.000000,-0.090000,-0.090000,-0.090000,PRE
0.496954,-0.100000,-0.160000,-0.100000,PRE
0.997021,-0.090000,-0.190000,-0.160000,PRE
1.497260,-0.160000,-0.240000,-0.180000,PRE
1.497260,-0.160000,-0.240000,-0.180000,CONTACT
1.998442,-0.160000,-0.230000,-0.180000,HOLD
2.498758,-0.150000,-0.230000,-0.180000,HOLD
2.999548,-0.150000,-0.230000,-0.170000,HOLD
3.498651,-0.160000,-0.230000,-0.170000,HOLD
3.996892,-0.160000,-0.230000,-0.160000,HOLD
4.499152,-0.100000,-0.230000,-0.160000,HOLD
4.997024,-0.100000,-0.230000,-0.160000,HOLD
5.498288,-0.100000,-0.160000,-0.090000,HOLD
5.996728,-0.100000,-0.090000,-0.090000,HOLD
5.996728,-0.100000,-0.090000,-0.090000,DETACH
6.497120,-0.100000,-0.090000,-0.090000,POST
6.999457,-0.100000,-0.090000,-0.090000,POST
7.497029,-0.100000,-0.090000,-0.090000,POST
7.999574,-0.100000,-0.090000,-0.080000,POST
