t_rel_s,f0,f1,f2,tag
0.000000,0.000000,0.000000,0.000000,PRE
0.499723,0.000000,-0.090000,0.000000,PRE
1.000122,0.000000,-0.090000,0.000000,PRE
1.501870,-0.170000,-0.240000,-0.180000,PRE
1.501870,-0.170000,-0.240000,-0.180000,CONTACT
1.999266,-0.170000,-0.230000,-0.180000,HOLD
2.501924,-0.170000,-0.240000,-0.180000,HOLD
2.999515,-0.170000,-0.240000,-0.180000,HOLD
3.499370,-0.170000,-0.240000,-0.180000,HOLD
3.999144,-0.170000,-0.230000,-0.180000,HOLD
4.498869,-0.170000,-0.240000,-0.180000,HOLD
5.001798,-0.170000,-0.240000,-0.180000,HOLD
5.499622,0.000000,-0.090000,0.000000,HOLD
5.499622,0.000000,-0.090000,0.000000,DETACH
6.001661,-0.100000,-0.080000,-0.090000,POST
6.499954,-0.100000,-0.090000,-0.080000,POST
6.999741,-0.090000,-0.080000,-0.090000,POST
7.501580,-0.100000,-0.090000,-0.090000,POST
