t_rel_s,f0,f1,f2,tag
0.000000,-0.090000,-0.090000,-0.080000,PRE
0.500164,-0.100000,-0.080000,-0.090000,PRE
1.000349,-0.100000,-0.090000,-0.090000,PRE
1.499916,-0.100000,-0.170000,-0.080000,PRE
1.999892,-0.090000,-0.210000,-0.150000,PRE
1.999892,-0.090000,-0.210000,-0.150000,CONTACT
2.500226,-0.170000,-0.250000,-0.180000,HOLD
3.000558,-0.170000,-0.250000,-0.180000,HOLD
3.500478,-0.170000,-0.250000,-0.180000,HOLD
4.000189,-0.170000,-0.250000,-0.180000,HOLD
4.500445,-0.170000,-0.260000,-0.180000,HOLD
5.000865,-0.170000,-0.250000,-0.180000,HOLD
5.500973,-0.170000,-0.250000,-0.180000,HOLD
6.000295,-0.170000,-0.250000,-0.180000,HOLD
6.501659,-0.170000,-0.250000,-0.180000,HOLD
7.000807,-0.150000,-0.090000,-0.140000,HOLD
7.501593,-0.100000,-0.090000,-0.090000,HOLD
7.501593,-0.100000,-0.090000,-0.090000,DETACH
8.000197,-0.100000,-0.090000,-0.090000,POST
8.500340,-0.090000,-0.090000,-0.090000,POST
9.000473,-0.100000,-0.090000,-0.090000,POST
9.501868,-0.090000,-0.090000,-0.090000,POST
