t_rel_s,f0,f1,f2,tag
0.000000,-0.100000,-0.090000,-0.090000,PRE
0.499592,-0.100000,-0.100000,-0.090000,PRE
0.999944,-0.100000,-0.160000,-0.090000,PRE
1.500080,-0.100000,-0.170000,-0.090000,PRE
1.999954,-0.100000,-0.210000,-0.150000,PRE
1.999954,-0.100000,-0.210000,-0.150000,CONTACT
2.500180,-0.170000,-0.260000,-0.180000,HOLD
3.000335,-0.170000,-0.260000,-0.180000,HOLD
3.499935,-0.170000,-0.260000,-0.180000,HOLD
3.999822,-0.170000,-0.260000,-0.180000,HOLD
4.500440,-0.170000,-0.260000,-0.180000,HOLD
4.999814,-0.170000,-0.250000,-0.180000,HOLD
5.500518,-0.170000,-0.260000,-0.180000,HOLD
5.998298,-0.170000,-0.260000,-0.180000,HOLD
6.499890,-0.170000,-0.250000,-0.180000,HOLD
7.000377,-0.170000,-0.260000,-0.180000,HOLD
7.500305,-0.100000,-0.090000,-0.080000,HOLD
7.500305,-0.100000,-0.090000,-0.080000,DETACH
8.000039,-0.090000,-0.090000,-0.090000,POST
8.500447,-0.100000,-0.080000,-0.090000,POST
8.999996,-0.090000,-0.090000,-0.090000,POST
9.498763,-0.100000,-0.090000,-0.090000,POST
10.000718,-0.090000,-0.090000,-0.080000,POST
