t_rel_s,f0,f1,f2,tag
0.000000,0.000000,0.000000,0.000000,PRE
0.499424,0.000000,0.000000,0.000000,PRE
0.999103,0.000000,0.000000,0.000000,PRE
1.499629,-0.100000,-0.230000,-0.180000,PRE
1.499629,-0.100000,-0.230000,-0.180000,CONTACT
1.999130,-0.100000,-0.230000,-0.180000,HOLD
2.499289,-0.100000,-0.230000,-0.180000,HOLD
2.999781,-0.100000,-0.230000,-0.180000,HOLD
3.499379,-0.100000,-0.230000,-0.180000,HOLD
3.999611,-0.100000,-0.230000,-0.160000,HOLD
4.497906,-0.150000,-0.230000,-0.160000,HOLD
4.999214,-0.100000,-0.230000,-0.160000,HOLD
5.498456,-0.090000,-0.230000,-0.160000,HOLD
5.997477,-0.100000,-0.230000,-0.160000,HOLD
6.499906,-0.100000,-0.230000,-0.160000,HOLD
6.999527,-0.100000,-0.230000,-0.160000,HOLD
7.499454,-0.100000,-0.220000,-0.160000,HOLD
7.999275,-0.100000,-0.230000,-0.160000,HOLD
8.497485,-0.090000,-0.230000,-0.160000,HOLD
8.997986,0.000000,-0.090000,0.000000,HOLD
8.997986,0.000000,-0.090000,0.000000,DETACH
9.500451,-0.100000,-0.090000,-0.090000,POST
9.999135,-0.090000,-0.090000,-0.080000,POST
10.499379,-0.100000,-0.090000,-0.090000,POST
10.997478,-0.100000,-0.100000,-0.080000,POST
11.499281,-0.090000,-0.090000,-0.090000,POST
